 56  24
 46  37
 41  61
 44  68
 50  63
 62  44
 64  33
 67  29
 75  27
 75  35
 57  70
 63  86
 76 106
 89  96
109  93
133  96
128  80
135  76
133  64
112  36
112  32
119  27
122  28
125  39
145  65
147  72
154  76
147  81
153  93
155  79
159  78
166  34
168  31
180  31
182  34
175  39
170  51
170  79
184  85
182  89
170  91
170  99
177 105
183 117
191 123
206 128
216 112
225 102
232  99
240 103
243 110
237 150
223 171
209 178
204 176
201 167
183 166
180 163
156 158
148 159
127 180
114 208
107 216
116 239
106 247
 94 246
 88 236
 92 225
 88 185
100 155
 56 165
 40 159
 26 144
 10  96
 11  84
 18  87
 26 131
 30 135
 40 111
 42  91
 30  76
 37  36
 45  23
 55  23
